EN,ES,FR
Jerboas,Jerboas,Jerboas
Kangaroos,Canguros,Kangourous
Kingbirds,Kingbirds,Kingbirds
Kingfishers,Martines Pescadores,Martins-Pêcheurs
Kinkajous,Kinkajous,Kinkajous
Kites,Cometas,Cerfs-Volants
Koalas,Koalas,Koalas
Kodkods,Kodkods,Kodkods
Komodo Dragons,Dragones de Komodo,Dragon de Komodo
Kookaburras,Kookaburras,Kookaburras
Koupreys,Koupreys,Koupreys
Kudus,Kudus,Kudus
Langurs,Langures,Langurs
Lapwings,Avefría,Vanneaux
Larks,Alondras,Alouettes
Lechwes,Lechwes,Lechwes
Lemurs,Lémures,Lémuriens
Leopards,Leopardos,Léopards
Linsangs,Linsangs,Linsangs
Lions,Leones,Lions
Lizards,Lagartos,Lézards
Llamas,Llamas,Lamas
Lobsters,Bogavantes,Homards
Locusts,Langostas,Criquets
Lorises,Lorises,Lorises
Lice,Piojos,Poux
Lynx,Lince,Lynx
Lyrebirds,Aves Lira,Lyrebirds
Macaques,Macacos,Macaques
Macaws,Guacamayos,Aras
Magpies,Urracas,Pies
Mallards,Patos Silvestres,Colverts
Mammoths,Mamuts,Mammouths
Manatees,Manatíes,Lamantins
Mandrills,Mandriles,Mandrills
Margays,Margays,Margays
Marmosets,Titíes,Ouistiti
Marmots,Marmotas,Marmottes
Meerkats,Suricatas,Suricates
Minks,Visones,Visons
Moles,Lunares,Taupes
Mongooses,Mangostas,Mangoustes
Monkeys,Monos,Singes
Moose,Alce,Élan
Mosquitoes,Mosquitos,Moustiques
Mice,Ratones,Souris
Mynas,Mynas,Mynas
Narwhals,Narvales,Narvals
Newts,Tritones,Tritons
Nightingales,Ruiseñores,Rossignols
Nilgais,Nilgais,Nilgais
Ocelots,Ocelotes,Ocelots
Octopuses,Pulpos,Poulpes
Okapis,Okapis,Okapis
Oncillas,Oncillas,Oncillas
Opossums,Zarigüeyas,Opossums
Orangutans,Orangutanes,Orangs-Outans
Oryx,Orix,Oryx
Ostriches,Avestruces,Autruches
Otters,Nutrias,Loutres
Oxen,Bueyes,Bœufs
Owls,Búhos,Hiboux
Oyans,Oyan,Oyans
Oysters,ostras,Huîtres
Panthers,Panteras,Panthères
Parrots,Loros,Perroquets
Pandas,Pandas,Pandas
Partridges,Perdices,Perdrix
Peafowl,Pavo real,Paon
Penguins,Pingüinos,Pingouins
Pheasants,Faisanes,Faisans
Pigs,Cerdos,Cochons
Pigeons,Pichónes,Pigeons
Pikas,Pikas,Pikas
Polar Bears,Osos Polares,Ours Polaires
Ponies,Ponis,Poneys
Porcupines,Puercoespines,Porc-Épic
Porpoises,Marsopas,Marsouins
Prairie Dogs,Perros de la Pradera,Chiens de Prairie
Pugs,Pugs,Carlins
Quails,Codornices,Cailles
Queleas,Queleas,Queleas
Quetzals,Quetzales,Quetzals
Rabbits,Conejos,Lapins
Raccoons,Mapaches,Ratons Laveurs
Rams,Carneros,Béliers
Rats,Ratas,Rats
Ravens,Cuervos,Corbeaux
Red Deer,Ciervos Rojos,Red Deer
Red Pandas,Pandas Rojos,Pandas Rouges
Reindeer,Reno,Renne
Rheas,Ñandúes,Rheas
Rhinoceroses,Rinocerontes,Rhinocéros
Rooks,Torres,Tours
Sakis,Sakis,Sakis
Salamanders,Salamandras,Salamandres
Salmon,Salmón,Saumon
Sand Dollars,Dólares de Arena,Dollars de Sable
Sandpipers,Lavanderas,Bécasseaux
Sardines,Sardinas,Sardines
Sassabies,Sassabies,Sassabies
Sea Lions,Leones Marinos,Lions de Mer
Seahorses,Caballitos de Mar,Hippocampes
Seals,Focas,Scellés
Servals,Servals,Servals
Sharks,Tiburones,Requins
Sheep,Oveja,Mouton
Shrews,Musarañas,Musaraignes
Shrikes,Alcaudones,Pie-Grièche
Siamangs,Siamangs,Siamangs
Skinks,Eslizones,Scinques
Skippers,Capitanes,Skippers
Skunks,Zorrillos,Mouffettes
Sloths,Perezosos,Paresseux
Snails,Caracoles,Escargots
Snakes,Serpientes,Serpents
Spiders,Arañas,Araignées
Spoonbills,Espátulas,Spatules
Squid,Calamar,Calamar
Squirrels,Ardillas,Écureuils
Starlings,Estorninos,Étourneaux
Stilts,Zancos,Échasses
Swans,Cisnes,Cygnes
Tamarins,Tamarinos,Tamarins
Tapirs,Tapires,Tapirs
Tarsiers,Tarsiers,Tarsiers
Termites,Termitas,Termites
Thrushes,Tordos,Grives
Tigers,Tigres,Tigres
Toads,Sapos,Crapauds
Topis,Topis,Topis
Toucans,Tucanes,Toucans
Turacos,Turacos,Turacos
Turkeys,Pavos,Dindes
Turtles,Tortugas,Tortues
Vicuña,Vicuña,Vicuña
Vinegaroons,Viñedos,Vinaigres
Vipers,Víboras,Vipères
Vultures,Buitres,Vautours
Wallabies,Ualabíes,Wallabies
Walruses,Morsas,Morses
Wasps,Avispas,Guêpes
Water Buffalo,Búfalo de Agua,Buffles d'Eau
Waxwings,Waxwings,Waxwings
Weasels,Comadrejas,Belettes
Whales,Ballenas,Baleines
Wobbegongs,Wobbegongs,Wobbegongs
Wolves,Lobos,Loups
Wolverines,Glotones,Carcajous
Wombats,Wombats,Wombats
Woodpeckers,Pájaros Carpinteros,Pics
Worms,Gusanos,Vers
Wrens,Reyezuelos,Wrens
Yaks,Yaks,Yaks
Zebras,Cebras,Zèbres
Banshee,Banshee,Banshee
Chimera,Quimera,Chimère
Dragons,Dragones,Dragons
Giants,Gigantes,Géants
Gremlins,Duendecillos,Diablotins
Gryphons,Grifos,Griffons
Shoggoths,Shoggoths,Shoggoths
Unicorns,Unicornios,Licornes
Acrobats,Acróbatas,Acrobates
Architects,Arquitectos,Architectes
Armorers,Armeros,Armuriers
Artisans,Artesanos,Artisans
Artists,Artistas,Artistes
Bailiffs,Alguaciles,Huissiers
Bakers,Panadería,Boulangers
Barristers,Barristers,Avocats
Blacksmiths,Herrería,Forgerons
Bookbinders,Encuadernadores,Relieurs
Bowyers,Bowyers,Bowyers
Brewers,Cerveceros,Brasseurs
Bricklayers,Mamposteros,Briqueteurs
Brothers,Hermanos,Frères
Buskers,Callejeros,Amuseurs
Butchers,Carnicería,Bouchers
Carpenters,Carpinteros,Charpentiers
Cartographers,Cartógrafos,Cartographes
Chandlers,Chandlers,Chandlers
Cobblers,Zapateros,Cordonniers
Cooks,Cocineros,Cuisiniers
Coopers,Cooper,Tonneliers
Courtiers,Cortesanos,Courtisans
Criers,Pregoneros,Crieurs
Diplomats,Diplomáticos,Diplomates
Drapers,Pañuelos,Rideaux
Engineers,Ingenieros,Ingénieurs
Engravers,Grabadores,Graveurs
Executioners,Verdugos,Bourreaux
Falconers,Cetreros,Fauconniers
Farmers,Agricultores,Agriculteurs
Fishermen,Pescadores,Pêcheurs
Fishmongers,Pescaderías,Poissonniers
Foresters,Silvicultores,Forestiers
Furriers,Peleteros,Fourreurs
Gardeners,Jardineros,Jardiniers
Glassblowers,Soplador de vidrio,Souffleurs
Goldsmiths,Orfebres,Orfèvres
Gravediggers,Sepultureros,Fossoyeurs
Grocers,Tenderos,Épiciers
Grooms,Novios,Mariés
Heralds,Heraldos,Hérauts
Herbalists,Herbolarios,Herboristes
Innkeepers,Posaderos,Propriétaires
Jesters,Bufones,Bouffons
Jewelers,Joyería,Bijoutiers
Limners,Limners,Limners
Locksmiths,Cerrajeros,Serruriers
Mercenaries,Mercenarios,Mercenaires
Messengers,Mensajeros,Messagers
Metalsmiths,Herreros,Métallurgistes
Millers,Molineros,Meuniers
Miners,Mineros,Mineurs
Minstrels,Juglares,Ménestrels
Moneylenders,Prestamistas,Prêteurs
Monks,Monjes,Moines
Navigators,Navegantes,Navigateurs
Padres,Padres,Padres
Pages,Paginas,Pages
Painters,Pintores,Peintres
Peddlers,Vendedores,Colporteurs
Plowmen,Labradores,Laboureurs
Politicians,Politicos,Politiciens
Reeves,Reeves,Reeves
Sailors,Marineros,Marins
Scribes,Escribas,Scribes
Scriveners,Escritores,Scriveners
Shipwrights,Carpinteros de Barcos,Constructeurs
Silversmiths,Platería,Orfèvres d'Argent
Spies,Espías,Espions
Squires,Escuderos,Écuyers
Stone Masons,Albañiles,Maçons
Stonecarvers,Talladores,Pierres
Storytellers,Narradores,Conteurs
Tailors,Sastres,Tailleurs
Troubadors,Trovadores,Troubadors
Weavers,Tejedores,Tisserands
Storm,Tormenta,Tempête
Lightning,Relámpago,Foudre
Thunder,Trueno,Tonnerre
Tornadoes,Tornados,Tornades
Hurricanes,Huracanes,Ouragans
Flood,Inundación,Inonder
Earthquakes,Temblores,Tremblements
Avalanche,Avalancha,Avalanche
Tsunami,Tsunami,Tsunami
Hail,Granizo,Saluer
Wildfire,Fuego Fatuo,Incendies
Reds,Rojos,Rouges
Blues,Blues,Blues
Emeralds,Esmeraldas,Émeraudes
Diamonds,Diamantes,Diamants
Rubies,Rubíes,Rubis
Sapphires,Zafiros,Saphirs
